test,test,test,test,test
gamerGuy,gamerGuy64,gamerGuy@gamer.com,gamer,Guy
gamerGirl,gamerGirl64,gamerGirl@gamer.com,gamer,Girl
gabby,gabby64,gabby@gabby,gabby,gabby
groggyGary,groggyGary64,groggyGary@groggy.com,Groggy,Gary
tim,tim64,tim64@tim.com,tim,taylor
harry,harry64,harry@hair,harry,hair
cartman,cartman64,cartman@cart.com,eric,cartman
chad,chad64,chad@chad.com,chad,chad
sportsFan,sportsFan64,sports@sports,sports,fan
hiddenJim,hidden64,hidden@jim.com,hidden,jim
dom,dom64,dom@dom.com,dominic,toretto
